x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635472.6659,5692642.1,26.07371712,125144.83,23.46046588,15.26340072,38.52366751,25.49736879,47.09618895,37.69281631,0.0772286,0.253245608,0.786022184,0.341803357,0.844153992,-1.740392529,1,110,POINT (635472.6659 5692642.1),45.2231074048739
635471.971,5692642.059,26.09029632,125145.05,23.96046588,16.16340072,37.02366751,26.19736879,46.79618895,35.99281631,0.0772286,0.243245608,0.736022184,0.331803357,0.944153992,-1.310392529,1,110,POINT (635471.971 5692642.059),45.91921588057524
635471.5969,5692642.034,26.09029632,125145.15,24.76046588,17.96340072,37.02366751,26.19736879,45.09618895,34.39281631,0.0772286,0.233245608,0.736022184,0.331803357,0.964153992,-1.130392529,1,110,POINT (635471.5969 5692642.034),46.29415028821235
635470.9319,5692641.988,26.1,125145.36,25.26046588,19.86340072,36.62366751,28.69736879,43.19618895,34.39281631,0.0772286,0.203245608,0.726022184,0.271803357,0.944153992,-1.030392529,1,110,POINT (635470.9319 5692641.988),46.96073936707411
635470.0411,5692641.925,26.1,125145.64,26.46046588,21.46340072,36.92366751,30.39736879,42.39618895,35.69281631,0.0672286,0.193245608,0.656022184,0.291803357,0.944153992,-0.990392529,1,110,POINT (635470.0411 5692641.925),47.85376436106672
635469.4482,5692641.881,26.10145152,125145.81,27.86046588,22.26340072,38.12366751,31.69736879,42.59618895,37.39281631,0.0672286,0.193245608,0.646022184,0.311803357,0.984153992,-1.430392529,1,110,POINT (635469.4482 5692641.881),48.448294772429065
635468.809,5692641.831,26.10145152,125146.01,28.56046588,21.96340072,39.52352157,32.09725696,43.49618895,38.79281631,0.0672286,0.203245608,0.676006965,0.331791754,1.154153992,-1.770392529,1,110,POINT (635468.809 5692641.831),49.08944735953346
635468.3074,5692641.787,26.10731808,125146.17,28.56046588,21.46286027,39.52352157,32.09725696,44.89620154,39.79278522,0.067224614,0.23322635,0.676006965,0.331791754,1.354153992,-1.320395217,1,110,POINT (635468.3074 5692641.787),49.59297348598613
635467.7328,5692641.734,26.10990592,125146.37,28.36046588,21.46136315,40.12307015,31.19691385,45.99623938,40.09270468,0.077224614,0.243166865,0.705957166,0.31175637,1.0841938,-0.790402198,1,110,POINT (635467.7328 5692641.734),50.17001261810118
635466.9121,5692641.655,26.10362368,125146.62,28.46046588,21.56095448,39.82247064,30.79657487,46.5962962,40.09256687,0.087218169,0.213144053,0.685900845,0.241712852,1.014225905,-1.260415903,1,110,POINT (635466.9121 5692641.655),50.99450609294008
635466.3023,5692641.596,26.08851328,125146.82,28.66046588,22.36095448,39.4221606,30.89657487,46.99631755,40.29253116,0.087201935,0.213100227,0.725868285,0.291687644,1.084244914,-1.840421388,1,110,POINT (635466.3023 5692641.596),51.60715365884855
635465.6422,5692641.53,26.07069928,125147.02,29.76046588,23.26095448,40.6221606,32.29657487,47.59634482,40.89253116,0.097201935,0.253056971,0.785868285,0.351687644,1.114266688,-1.840427663,1,110,POINT (635465.6422 5692641.53),52.27054495357984
635465.1624,5692641.48,26.05575688,125147.18,31.36046588,23.16095448,40.6221606,32.29657487,48.19634482,41.59253116,0.117201935,0.293056971,0.785868285,0.351687644,1.244266688,-2.300427663,1,110,POINT (635465.1624 5692641.48),52.75294317077636
635464.5061,5692641.412,26.05,125147.38,31.76046588,22.56095448,42.4221606,32.49657487,48.99634482,42.09253116,0.127201935,0.303056971,0.825868285,0.341687644,1.024266688,-2.790427663,1,110,POINT (635464.5061 5692641.412),53.412756546030245
635463.6135,5692641.322,26.05,125147.65,31.26046588,21.76095448,43.3221606,31.29657487,49.99634482,42.39253116,0.137201935,0.333056971,0.845868285,0.361687644,0.834266688,-2.710427663,1,110,POINT (635463.6135 5692641.322),54.30988237890474
635463.0961,5692641.272,26.05,125147.82,30.26046588,21.06095448,42.2221606,30.49657487,50.59634482,42.09253116,0.117201935,0.343056971,0.815868285,0.401687644,1.104266688,-2.490427663,1,110,POINT (635463.0961 5692641.272),54.82969269045437
635462.3545,5692641.201,26.05404544,125148.04,29.36046588,21.16095448,41.1221606,30.29657487,49.79634482,40.89253116,0.107201935,0.323056971,0.885868285,0.391687644,1.184266688,-2.440427663,1,110,POINT (635462.3545 5692641.201),55.5746836701713
635461.9709,5692641.165,26.06591416,125148.16,29.06046588,21.66095448,41.1221606,30.29657487,48.29634482,39.79253116,0.107201935,0.293056971,0.885868285,0.391687644,1.224266688,-2.500427663,1,110,POINT (635461.9709 5692641.165),55.959969226697844
635461.3097,5692641.103,26.08059832,125148.36,28.86046588,21.76095448,40.5221606,30.49657487,46.99634482,38.99253116,0.107201935,0.283056971,0.895868285,0.371687644,1.254266688,-2.070427663,1,110,POINT (635461.3097 5692641.103),56.62406970098947
635460.4203,5692641.02,26.10158982,125148.64,28.46046588,21.86095448,38.2221606,30.89657487,46.19634482,38.39253116,0.097201935,0.293056971,0.855868285,0.361687644,1.194266688,-1.310427663,1,110,POINT (635460.4203 5692641.02),57.51733414115719
635459.8035,5692640.964,26.1205589,125148.84,28.06046588,21.96095448,38.5221606,30.99657487,46.99634482,37.79253116,0.097201935,0.263056971,0.795868285,0.321687644,1.104266688,-1.000427663,1,110,POINT (635459.8035 5692640.964),58.136671076867756
635459.2281,5692640.913,26.1205589,125149.01,27.96046588,21.66095448,38.5221606,30.59657487,47.29634482,37.99253116,0.097201935,0.223056971,0.795868285,0.311687644,1.064266688,-1.260427663,1,110,POINT (635459.2281 5692640.913),58.714326822186685
635458.6931,5692640.867,26.14102427,125149.18,28.26046588,20.66095448,40.6221606,30.59657487,46.89634482,38.69253116,0.087201935,0.213056971,0.665868285,0.311687644,1.054266688,-1.440427663,1,110,POINT (635458.6931 5692640.867),59.25130075071445
635458.0442,5692640.813,26.14995328,125149.39,28.26046588,19.66095448,41.4221606,29.89657487,47.39634482,38.79253116,0.087201935,0.233056971,0.615868285,0.321687644,1.044266688,-1.670427663,1,110,POINT (635458.0442 5692640.813),59.902443753432024
635457.3029,5692640.752,26.14704512,125149.62,27.36046588,19.16095448,40.5221606,27.79657487,47.79634482,38.09253116,0.077201935,0.243056971,0.655868285,0.321687644,1.084266688,-2.000427663,1,110,POINT (635457.3029 5692640.752),60.64624929923109
635456.6247,5692640.694,26.14145152,125149.82,26.36046588,18.86095448,38.9221606,26.59657487,47.79634482,37.19253116,0.077201935,0.263056971,0.725868285,0.341687644,1.124266688,-1.700427663,1,110,POINT (635456.6247 5692640.694),61.32692487538759
