,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
185,107773.7048,183286.1347,16.507603825867452,27.127827494857907,43.9670115673588,62.53834667740618,80.15405960905298,95.54020316756153,108.25734506331881,118.29970079316601,125.87505476753383,131.2702732070685,134.8077267993782,136.78518718507684,137.47459689929298,137.1043178973185,135.87306393355075,133.94859216488868,131.48249163458942,128.59568534397624,125.38721676271254,121.9388816688561,118.3067856969775,65.03507645
186,107773.8081,183285.9777,17.42555396954771,28.198934813165064,45.14599851576942,63.71425762786446,81.22187725623023,96.42997719578075,108.92986743966132,118.74688503618006,126.11030383990774,131.32398039423083,134.70552095562732,136.5572757473152,137.14326810230273,136.70060982816955,135.4249507792079,133.48088494180672,131.009244323065,128.12295263931193,124.92474153791643,121.49795569545192,117.90373139447894,65.2230052
187,107774.0154,183285.661,17.785594592424303,28.85359991440958,46.45227332714896,65.8598953493969,84.22857352620144,100.18694070255879,113.25809936054891,123.43660407330223,130.94757042312443,136.10768981203682,139.26034807783117,140.7284273809667,140.80508198191475,139.74389637839045,137.76434323356796,135.05026387321797,131.7627865749985,128.02742679787036,123.95432134953168,119.62963663389378,115.12711652046457,65.60153294
188,107774.1857,183285.3991,17.472752857740318,28.89551283265309,46.98811163147187,66.8919908392811,85.68728001197641,101.97796876343575,115.27671240938551,125.59494062794424,133.16598321358336,138.32451527120094,141.41866669712172,142.78250508146385,142.72097941955397,141.495292609799,139.33433160252497,136.4244011786696,132.92999306634943,128.98370008469877,124.69788162003597,120.16048512245416,115.44976406676902,65.91387543
189,107774.3335,183285.1715,16.888617195150808,28.59300507016675,47.08529802462118,67.39312620943151,86.52741040111366,103.08328071138972,116.57587587589333,127.01866946813828,134.65828353799137,139.83844580452353,142.92212978489172,144.25314635308487,144.13122084341052,142.82132121895134,140.55075308541262,137.523067406631,133.90545327802624,129.83610681139993,125.42864774383858,120.77285768531674,115.94401584405944,66.18530477
190,107774.4808,183284.9455,16.748794580165026,28.472736647481323,46.938332060658645,67.18605675311925,86.27046327087365,102.79775836810276,116.29765487750171,126.78708602799804,134.51335172342075,139.80802907555102,143.03998662492475,144.532447054857,144.59772827485878,143.4996822245668,141.45783730157575,138.68068056504964,135.30911012200775,131.49163463413728,127.32715301111244,122.9164124353056,118.33074164106183,66.45509881
191,107774.6799,183284.6428,16.233862553579335,27.968669181967275,46.42082808864286,66.66679370916779,85.78343179819072,102.38761206803399,116.0070344466466,126.65461649935588,134.56664572719626,140.07931443293455,143.54047658769247,145.28303658453848,145.6036474350867,144.7628305183191,142.986043607648,140.46017626208703,137.3474150423257,133.77782590535443,129.85916791094868,125.68799239476704,121.33804979080689,66.8174266
192,107774.8567,183284.3775,15.573466873784124,27.421033703085442,45.990271370140334,66.35152651915803,85.57135304093366,102.28064707457445,116.01892905275281,126.78379581652466,134.83138270115114,140.47934790351437,144.08866773466048,145.9959188541838,146.49193342423857,145.84519803240153,144.26271367689628,141.9411030544418,139.03167757282486,135.66770852926172,131.9630721582213,128.0017896738967,123.86198023049597,67.13618423
193,107775.06,183284.0755,14.562092511793216,26.780226490045425,45.865969978838244,66.74179187742669,86.41565427523047,103.48688829705269,117.48577028751936,128.4323629043237,136.57865738648954,142.26698803260055,145.8596428546287,147.6988826639727,148.0944411727117,147.31648134937717,145.5875106395826,143.1039339498562,140.02280188141438,136.4889695341076,132.61453051369122,128.48726159984358,124.17525946476262,67.50024482
194,107775.2127,183283.8505,14.290133648640456,26.456989909237933,45.48412851933397,66.32230253018795,85.9910396765366,103.0912746232305,117.15162150282285,128.18881041472932,136.45366051126754,142.28848205716002,146.05129442673976,148.0758460529383,148.66603564583437,148.08977148322953,146.5747247806753,144.302892725417,141.43454204534413,138.10582274940768,134.4292993745394,130.49319934305774,126.37332911815913,67.77216738
195,107775.3751,183283.6116,13.654365586349787,25.815049537184652,44.94390793349051,65.9772222530294,85.89954885986458,103.28324576919086,117.62898815653635,128.94221255310035,137.45455803431332,143.5060418343421,147.45216163609436,149.6306051884738,150.3450108778772,149.85799245517083,148.40549344026087,146.17675591984585,143.34366686899997,140.03216349942045,136.35919745976332,132.4131544315309,128.27755240777773,68.06103643
196,107775.5794,183283.3114,13.946028906981606,25.875155527625875,44.73821587435249,65.55335285902395,85.34114134345039,102.67553818370001,117.05929158723781,128.47689021770913,137.1564932894307,143.4163385040285,147.60325174404747,150.04678398290937,151.04648834432032,150.85971487417189,149.71253001139496,147.79506636798092,145.26914588700419,142.2674130812095,138.90361950927002,135.26145358136213,131.4178319181881,68.42414876
197,107775.6978,183283.1373,13.646323500925797,25.874426734083197,45.125775149415844,66.29346117948685,86.34526019444444,103.85078827585096,118.31772149297191,129.74195679222635,138.36952104870147,144.53636735168257,148.60270653425837,150.90369229427634,151.73772003088254,151.37153337155362,150.03306629452624,147.92218481925704,145.1959200843627,141.99570833182264,138.42792431723979,134.5909179018624,130.5582806740056,68.63476066
