x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107753.139,183263.384,70.58485004,39697.49,26.16206696,11.84594411,45.51366624,23.2166669,56.0406206,38.88668672,0.960314578,0.658495822,0.946718503,0.069548135,1.327492884,-2.245014421
107752.921,183263.715,70.57297142,39697.62,26.06123497,12.14652876,45.51352458,23.61719954,55.94068784,39.0921373,0.960290336,0.658494042,0.946719858,0.069548135,1.327382716,-2.195014421
107752.746,183263.983,70.5672266,39697.71,26.06123497,12.24676819,45.91352458,23.81792973,55.84070236,39.59347892,0.960290336,0.658493339,0.946719858,0.089548135,1.32735676,-2.135014421
107752.6,183264.204,70.5672266,39697.78,26.16123497,12.24676819,45.91352458,24.01792973,55.74070236,40.19347892,0.960290336,0.658493339,0.946719858,0.089548135,1.31735676,-2.115014421
107752.444,183264.442,70.56102753,39697.87,26.36123497,12.24676819,46.61352458,24.11792973,55.84070236,40.69347892,0.960290336,0.658493339,0.946719858,0.089548135,1.29735676,-2.155014421
107752.223,183264.779,70.5549303,39698.01,26.46123497,12.34676819,46.71352458,24.21792973,56.14070236,40.99347892,0.960290336,0.658493339,0.946719858,0.089548135,1.29735676,-2.215014421
107752.098,183264.97,70.54891269,39698.09,26.46123497,12.34676819,46.81352458,24.31792973,56.34070236,40.99347892,0.960290336,0.658493339,0.946719858,0.089548135,1.287352087,-2.275014421
107751.877,183265.309,70.54410395,39698.2,26.76120637,12.74724608,46.91302685,24.41871345,56.24071704,40.69706478,0.960290336,0.658492598,0.94672393,0.079186367,1.29731403,-2.315084565
107751.684,183265.605,70.5383916,39698.31,26.95925365,12.8501958,47.1093963,24.42199451,56.24073604,40.60275798,0.960231485,0.658485622,0.946753577,0.059093035,1.30721821,-2.335271416
107751.531,183265.84,70.53332742,39698.41,26.95484131,12.8501958,47.20814384,24.32779347,56.44083418,40.74954391,0.960101891,0.658485622,0.956765015,0.059038013,1.296393928,-2.335285381
107751.351,183266.118,70.52835778,39698.51,26.85415756,12.75112634,47.30784936,24.13070248,56.84083692,40.75439247,0.960079353,0.648483089,0.956765015,0.059038013,1.286303489,-2.335285381
107751.169,183266.399,70.52296783,39698.61,26.85406996,12.65134786,47.50784936,24.03127046,57.24083613,40.65545582,0.960076811,0.648482809,0.946765015,0.059038013,1.27629467,-2.305285381
107751.033,183266.609,70.51859305,39698.71,26.75406996,12.45141096,47.40784936,23.83127046,57.24083613,40.65545582,0.960076811,0.658482809,0.946765015,0.059038013,1.27629467,-2.295285381
