x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1
107756.832,183309.756,70.181315,40902.81,16.1048553,7.358147112,29.65528834,14.74828605,38.07997576,25.49327393
107757.01,183309.493,70.19,40902.92,16.2048553,7.458147112,29.75528834,15.04828605,38.37997576,25.89327393
107757.185,183309.235,70.19,40903.02,16.3048553,7.558147112,29.95528834,15.34828605,38.87997576,26.29327393
107757.323,183309.032,70.19,40903.1,16.5048553,7.758147112,29.95528834,15.44828605,39.57997576,26.49327393
107757.456,183308.837,70.19,40903.19,16.8048553,7.858147112,30.25528834,15.44828605,40.47997576,26.39327393
107757.652,183308.551,70.19757041,40903.29,17.0048553,7.858147112,31.45528834,15.54828605,41.27997576,26.49327393
107757.81,183308.321,70.2030441,40903.39,17.1048553,7.858147112,31.75528834,15.54828605,41.77997576,26.89327393
107757.99,183308.058,70.20956155,40903.49,17.3048553,7.958147112,31.95528834,15.74828605,42.17997576,27.19327393
107758.151,183307.826,70.21653647,40903.59,17.5048553,7.958147112,32.15528834,16.04828605,42.67997576,27.19327393
107758.332,183307.563,70.22230828,40903.7,17.9048553,8.058147112,32.75528834,16.24828605,43.47997576,27.09327393
107758.519,183307.293,70.22926858,40903.8,18.2048553,8.258147112,33.45528834,16.44828605,44.07997576,27.09327393
107758.685,183307.053,70.2327906,40903.91,18.4048553,8.258147112,33.95528834,16.64828605,44.47997576,27.29327393
107758.937,183306.689,70.23755692,40904.06,18.8048553,8.458147112,34.35528834,16.74828605,44.97997576,27.59327393
107759.113,183306.435,70.25130406,40904.16,19.1048553,8.558147112,34.85528834,16.94828605,45.47997576,28.49327393
107759.189,183306.325,70.25130406,40904.21,19.1048553,8.558147112,34.85528834,16.94828605,45.87997576,28.49327393
107759.312,183306.148,70.25673566,40904.3,19.40109311,8.755726828,35.45403234,17.04828605,46.27692665,28.79327393
107759.514,183305.856,70.26989606,40904.4,19.50109311,8.95507493,36.44881039,17.64598468,46.86639958,29.28463766
107759.65,183305.658,70.27675579,40904.5,19.80109311,9.15507493,36.84881039,18.04598468,47.26639958,30.08463766
107759.809,183305.427,70.28289327,40904.6,20.20109311,9.25507493,37.14881039,18.54598468,47.46639958,30.88463766
107760.015,183305.13,70.28747377,40904.71,20.40109311,9.45507493,37.74881039,19.04598468,47.56639958,31.98463766
107760.217,183304.835,70.30216936,40904.81,20.70109311,9.55507493,38.34881039,19.54598468,47.86639958,32.98463766
107760.351,183304.641,70.30216936,40904.9,21.00109311,9.75507493,38.64881039,19.74598468,48.36639958,33.68463766
107760.534,183304.375,70.3089224,40905.01,21.30109311,9.85507493,39.04881039,19.94598468,49.06639958,34.98463766
107760.578,183304.311,70.31566098,40905.04,21.30109311,9.95507493,39.04881039,19.94598468,50.16639958,34.98463766
107760.723,183304.1,70.31566098,40905.13,21.60109311,9.95507493,39.84881039,20.14598468,51.46639958,35.88463766
107760.9,183303.84,70.32478545,40905.23,21.90109311,10.15507493,40.54881039,20.84598468,52.66639958,36.68463766
107761.124,183303.513,70.32864092,40905.36,22.50109311,10.35507493,42.04881039,21.04598468,53.66639958,37.18463766
107761.277,183303.29,70.3325434,40905.45,23.10109311,10.35507493,42.84881039,21.14598468,54.56639958,37.58463766
107761.42,183303.079,70.33617096,40905.55,23.60109311,10.45507493,43.44881039,21.44598468,55.16639958,37.78463766
107761.607,183302.806,70.33965452,40905.66,24.00109311,10.65507493,43.94881039,21.94598468,55.66639958,38.38463766
107761.783,183302.546,70.343125,40905.77,24.50109311,10.95507493,44.64881039,22.54598468,56.16639958,39.28463766
107761.856,183302.439,70.343125,40905.82,25.00109311,11.35507493,44.64881039,22.54598468,56.86639958,40.38463766
107762.158,183301.994,70.35095273,40906.01,25.50109311,12.55507493,46.54881039,24.44598468,57.56639958,41.58463766
107762.317,183301.76,70.35566737,40906.11,27.50109311,12.95507493,47.74881039,25.54598468,57.96639958,42.68463766
107762.452,183301.559,70.36322736,40906.2,27.50109311,12.95507493,49.04881039,26.64598468,58.16639958,43.78463766
107762.642,183301.279,70.36929559,40906.31,28.50109311,13.35507493,49.94881039,27.64598468,58.66639958,44.58463766
107762.777,183301.078,70.37260438,40906.41,29.20109311,14.05507493,49.94881039,28.74598468,59.16639958,45.28463766
107762.915,183300.874,70.37892864,40906.5,29.80109311,14.85507493,50.24881039,29.94598468,59.46639958,46.18463766
107763.118,183300.573,70.38637091,40906.61,30.50109311,15.45507493,52.34881039,31.14598468,59.66639958,47.08463766
107763.258,183300.363,70.39407197,40906.71,31.20109311,15.55507493,53.64881039,31.84598468,59.76639958,47.98463766
107763.399,183300.154,70.40184727,40906.8,31.80109311,15.45507493,53.64881039,31.94598468,59.96639958,48.98463766
107763.6,183299.853,70.4102656,40906.92,32.20109311,15.35507493,55.24881039,31.74598468,60.66639958,50.18463766
107763.725,183299.668,70.41759612,40907.01,32.30109311,15.15507493,55.24881039,31.54598468,61.66639958,50.88463766
107763.835,183299.504,70.41759612,40907.08,32.20109311,15.05507493,55.44881039,31.54598468,62.66639958,50.98463766
107763.975,183299.295,70.42377318,40907.19,32.20109311,14.85507493,55.54881039,31.34598468,63.56639958,50.98463766
107764.151,183299.032,70.4322944,40907.29,32.00102214,14.65504532,56.34870011,31.14594409,64.46623392,51.08449302
107764.31,183298.796,70.43719745,40907.39,32.00102214,14.55504532,56.34870011,30.94594409,65.36623392,51.28449302
107764.477,183298.547,70.44229695,40907.5,32.00102214,14.35504532,57.34870011,30.84594409,66.26623392,51.98449302
107764.57,183298.408,70.4485376,40907.56,32.00102214,14.15504532,57.34870011,30.84594409,66.86623392,51.98449302
107764.71,183298.2,70.4485376,40907.66,32.00102214,14.25504532,57.64870011,30.74594409,67.06623392,51.78449302
107764.872,183297.959,70.45270625,40907.76,32.10102214,14.65504532,57.54870011,30.84594409,66.46623392,51.08449302
107765.016,183297.745,70.45729375,40907.86,32.70102214,15.25504532,56.84870011,31.74594409,65.46623392,50.48449302
107765.276,183297.359,70.46770305,40908.01,32.90024803,15.65480143,56.94838298,32.14519934,64.76577747,50.18411045
107765.387,183297.194,70.4702128,40908.09,32.99767584,15.65480143,56.94775089,32.34242653,64.46577747,50.38296797
107765.55,183296.952,70.48058681,40908.2,33.09767584,15.55480143,56.84775089,32.14224064,64.66577747,50.78296797
107765.722,183296.698,70.48058681,40908.3,32.99767584,15.25480143,56.74775089,31.54224064,65.16577747,50.98296797
107765.878,183296.467,70.48680911,40908.4,32.69767584,14.85480143,56.74775089,30.94224064,65.96577747,51.18296797
107766.044,183296.221,70.49288,40908.49,32.39767584,14.35480143,56.54775089,30.34224064,66.86577747,51.28296797
107766.201,183295.989,70.50075171,40908.59,32.19767584,14.05480143,56.44775089,29.74224064,67.36577747,50.88296797
107766.338,183295.788,70.50819201,40908.7,32.09767584,13.95480143,56.44775089,29.24224064,67.56577747,50.18296797
107766.513,183295.529,70.515,40908.8,31.99767584,14.05480143,56.54775089,28.84224064,67.56577747,49.38296797
107766.673,183295.293,70.52331061,40908.91,31.99767584,14.35480143,56.34775089,29.04224064,67.06577747,48.88296797
107766.865,183295.011,70.53712,40909.01,32.09767584,14.75480143,55.64775089,29.44224064,66.06577747,48.68296797
107766.946,183294.891,70.53712,40909.06,32.29767584,15.25480143,55.64775089,29.44224064,65.06577747,48.68296797
107767.093,183294.675,70.54512128,40909.16,32.29767584,15.45480143,55.44775089,30.74224064,64.16577747,48.68296797
107767.171,183294.56,70.55058085,40909.21,32.39767584,15.45480143,55.54775089,30.74224064,63.56577747,48.58296797
107767.333,183294.323,70.5545152,40909.3,32.59767584,15.55480143,55.94775089,31.14224064,63.16577747,48.68296797
107767.496,183294.083,70.56029515,40909.4,32.69767584,15.45480143,56.14775089,30.94224064,62.86577747,48.98296797
107767.66,183293.841,70.56522065,40909.5,32.79767584,15.35480143,55.54775089,30.84224064,62.76577747,49.28296797
107767.823,183293.602,70.56993615,40909.61,32.49767584,15.15480143,55.14775089,30.84224064,62.86577747,49.58296797
107767.996,183293.349,70.575,40909.71,31.99767584,14.85480143,55.34775089,30.74224064,63.36577747,50.08296797
107768.168,183293.096,70.5777536,40909.81,31.49767584,14.55480143,55.64775089,30.24224064,64.16577747,50.48296797
107768.316,183292.879,70.5824016,40909.9,31.29767584,14.15480143,55.9304341,29.63402362,65.2609987,50.57960841
107768.63,183292.419,70.5922776,40910.08,31.38582949,13.54981287,56.1304341,29.13402362,66.34310033,50.56602496
107768.781,183292.199,70.60058681,40910.18,31.38582949,13.44981287,56.3304341,28.73402362,67.24310033,50.16602496
107768.938,183291.968,70.60551649,40910.27,31.18582949,13.44981287,56.4304341,28.43402362,67.84310033,49.46602496
107769.115,183291.709,70.61288,40910.38,30.88582949,13.34981287,56.2304341,28.23402362,67.94310033,48.46602496
107769.277,183291.474,70.62002,40910.48,30.98582949,13.44981287,55.5304341,28.03402362,67.24310033,47.46602496
107770.533,183289.637,70.6734418,40911.27,30.28582949,14.64981287,53.6304341,28.13402362,66.14310033,46.56602496
107770.636,183289.484,70.6789408,40911.34,30.28582949,14.64981287,53.6304341,28.13402362,64.64310033,45.86602496
107770.786,183289.263,70.68159218,40911.44,30.28582949,14.64981287,53.6304341,28.13402362,63.04310033,45.26602496
107770.923,183289.06,70.686225,40911.53,30.28582949,14.64981287,52.3304341,28.33402362,62.04310033,45.06602496
107771.017,183288.92,70.6912,40911.59,30.28582949,14.64981287,51.4304341,28.33402362,62.14310033,45.26602496
107771.049,183288.873,70.6912,40911.61,30.28582949,14.64981287,51.4304341,28.33402362,62.84310033,45.26602496
107771.097,183288.801,70.6912,40911.64,29.98582949,15.04981287,51.4304341,28.33402362,63.44310033,45.76602496
107771.163,183288.704,70.6912,40911.68,29.98582949,15.04981287,51.3304341,28.13402362,64.14310033,46.06602496
107771.229,183288.605,70.69604167,40911.72,30.18582949,15.04981287,51.3304341,28.13402362,64.54310033,45.76602496
107771.315,183288.478,70.69604167,40911.77,30.18582949,15.04981287,51.8304341,27.63402362,64.44310033,43.26602496
107771.384,183288.374,70.70127318,40911.81,30.38582949,14.14981287,52.1304341,26.93402362,63.84310033,42.26602496
107771.492,183288.214,70.70127318,40911.87,29.98582949,12.14981287,50.7304341,25.03402362,63.04310033,41.76602496
107771.596,183288.058,70.70599759,40911.92,28.78582949,12.14981287,49.6304341,24.23402362,62.74310033,41.56602496
107771.747,183287.832,70.71074367,40912.02,27.98582949,12.34981287,49.2304341,24.53402362,62.94310033,42.26602496
107771.837,183287.696,70.715075,40912.08,27.78582949,12.14981287,49.4304341,24.53402362,63.24310033,42.26602496
107771.947,183287.531,70.715075,40912.15,27.68582949,11.94981287,49.7304341,24.33402362,63.14310033,42.56602496
107772.076,183287.336,70.72397324,40912.22,27.48582949,11.84981287,49.9304341,24.13402362,63.14310033,42.56602496
107772.175,183287.186,70.72397324,40912.3,27.38582949,11.84981287,50.1304341,24.13402362,63.24310033,42.46602496
107772.342,183286.934,70.72887924,40912.41,27.48582949,12.54981287,50.0304341,24.53402362,63.34310033,42.56602496
107772.474,183286.735,70.7332581,40912.49,28.08582949,12.94981287,50.1304341,25.23402362,63.44310033,42.96602496
107772.628,183286.5,70.73859305,40912.59,28.48582949,13.04981287,50.5304341,26.33402362,63.34310033,43.36602496
107772.763,183286.294,70.74345542,40912.68,28.98582949,13.14976963,51.73026834,26.63402362,63.44281121,44.06584575
107772.868,183286.133,70.74345542,40912.76,29.28582949,13.24976963,51.73026834,26.63402362,63.54281121,44.86584575
107772.998,183285.936,70.74345542,40912.85,29.28582949,13.54976963,52.13026834,27.03402362,63.74281121,45.26584575
107773.146,183285.709,70.74345542,40912.95,30.08582949,13.94976963,52.53026834,27.73402362,64.04281121,45.36584575
107773.285,183285.496,70.74345542,40913.05,30.08582949,14.34976963,52.83026834,28.43402362,64.24281121,45.56584575
107773.445,183285.252,70.791,40913.16,30.58582949,14.74976963,53.23026834,29.23402362,64.34281121,46.06584575
107773.587,183285.034,70.78647952,40913.26,31.08582949,15.04976963,53.53026834,30.03402362,64.44281121,46.66584575
107773.716,183284.837,70.78647952,40913.36,31.68582949,15.24976963,53.93026834,30.43402362,64.64281121,47.56584575
107773.901,183284.553,70.78647952,40913.47,32.18582949,15.44976963,55.63026834,30.73402362,64.84281121,48.36584575
107774.001,183284.4,70.78647952,40913.55,32.18582949,15.64976963,55.63026834,30.73402362,65.14281121,48.96584575
107774.128,183284.206,70.79111808,40913.65,32.58326793,15.84868306,56.22590637,31.12708818,65.53808624,49.36053415
107774.297,183283.947,70.79781568,40913.76,33.07196119,16.048215,56.32535776,31.82435308,66.03679658,49.75924509
107774.423,183283.753,70.80380186,40913.86,33.27196119,16.048215,56.52535776,32.12435308,66.63679658,50.55924509
107774.55,183283.56,70.80771344,40913.96,33.27196119,16.048215,57.12535776,32.12435308,67.23679658,51.45924509
107774.734,183283.277,70.81579514,40914.08,33.87196119,16.248215,58.12535776,32.52435308,67.53679658,51.95924509
107774.897,183283.03,70.82093368,40914.19,34.07196119,16.348215,58.42535776,32.82435308,67.83679658,52.15924509
107775.048,183282.801,70.82652212,40914.3,34.17196119,16.448215,58.42535776,33.02435308,68.33679658,52.75924509
107775.205,183282.565,70.83078816,40914.41,34.17196119,16.548215,59.02535776,33.12435308,69.03679658,54.15924509
107775.266,183282.473,70.83301824,40914.46,34.17196119,16.548215,59.02535776,33.12435308,69.53679658,54.15924509
107775.38,183282.303,70.8353925,40914.55,34.37196119,16.648215,59.42535776,33.42435308,69.93679658,54.55924509
107775.533,183282.075,70.83756096,40914.66,34.87196119,16.748215,59.92535776,33.82435308,70.53679658,55.05924509
107775.669,183281.872,70.83984,40914.75,35.17196119,16.848215,60.12535776,34.02435308,71.33679658,55.55924509
107775.841,183281.618,70.84474998,40914.86,35.17196119,17.248215,60.32535776,34.42435308,72.53679658,55.95924509
107775.977,183281.417,70.84726458,40914.95,35.37196119,17.448215,60.82535776,34.52435308,73.83679658,56.25924509
107776.157,183281.152,70.84961664,40915.09,36.27196119,17.448215,62.82535776,34.42435308,74.73679658,56.35924509
107776.308,183280.93,70.85185152,40915.19,36.57196119,17.148215,63.42535776,34.12435308,75.43679658,56.25924509
107776.461,183280.703,70.8546075,40915.29,36.67196119,17.148215,63.32535776,33.92435308,76.03679658,55.95924509
107776.602,183280.494,70.8580725,40915.39,36.87196119,17.248215,63.22535776,33.92435308,76.33679658,55.75924509
107776.751,183280.274,70.86211045,40915.49,36.87196119,17.348215,63.32535776,34.12435308,76.13679658,55.55924509
107776.884,183280.075,70.86745937,40915.58,36.97196119,17.248215,63.32535776,34.32435308,75.93679658,55.35924509
107777.003,183279.898,70.87302534,40915.68,36.97196119,17.248215,63.62535776,34.32435308,75.83679658,55.45924509
107777.206,183279.595,70.8791033,40915.8,37.07131471,17.248215,64.02535776,34.32435308,75.73679658,55.55924509
107777.363,183279.359,70.891515,40915.9,37.07131471,17.248215,64.02535776,34.42435308,75.33679658,55.75924509
107777.546,183279.083,70.89821409,40916.03,36.97131471,17.148215,63.62535776,34.52435308,74.83679658,56.05924509
107777.666,183278.9,70.90548061,40916.12,36.77131471,17.048215,63.12535776,34.42435308,74.53679658,56.15924509
107777.741,183278.787,70.90548061,40916.17,36.77131471,16.848215,63.12535776,34.42435308,74.43679658,56.25924509
107777.918,183278.519,70.91777036,40916.27,36.57131471,16.64713592,62.82223609,34.32435308,74.53679658,56.75924509
107778.057,183278.308,70.91777036,40916.36,36.36274509,16.44154917,62.80127247,34.41585387,74.92195124,57.5418938
107778.196,183278.099,70.92416833,40916.46,36.26142336,16.44154917,63.10127247,34.61585387,75.91775462,58.33722353
107778.345,183277.871,70.92937408,40916.57,36.56142336,16.64154917,63.60127247,34.91585387,77.21775462,59.03722353
107778.473,183277.676,70.93417608,40916.66,36.86142336,16.74154917,64.30127247,34.91585387,78.51775462,59.63722353
107778.656,183277.4,70.94090346,40916.77,37.16142336,17.04154917,65.70127247,35.41585387,79.31775462,60.03722353
