x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
107747.8486,183324.477,5.754709499895736,13.946403797496222,26.97607327580509,41.352705572028015,54.920638564779715,66.60993655099296,76.01460458526441,83.08841545492517,87.97348246856583,90.88845834137416,92.07314397750352,91.7676725169657,90.18855994423497,87.53577588501354,83.97839703089203,79.66484977824953,74.7225653809089,69.25870274996727,63.36731521045946,57.1224233071629,50.59072098000121,18.78642993
107748.0443,183324.1795,4.769142209993941,12.308926970009011,24.609765250400304,38.449766583389945,51.752422848692795,63.43205523670142,73.04464718943291,80.49789631160692,85.88782589673124,89.4008956921924,91.248685026141,91.64807643185091,90.8070177380439,88.91023432187016,86.11812902522765,82.57116185645346,78.39006131458409,73.68256173770662,68.53660100839826,63.02965016098,57.22432435932055,19.14243258
107748.2051,183323.9355,4.6886175599105435,11.684276563340212,23.350722207765642,36.6738350389271,49.64612540560012,61.177745947362766,70.80462592061707,78.40344861427442,84.04964870830995,87.89845727719454,90.15102786722329,91.00178462591094,90.64977686741449,89.27246562582371,87.02361931548403,84.03058172130677,80.41350871533363,76.2727061911893,71.69207270606292,66.74979117372771,61.508858476849056,19.43469314
107748.3993,183323.6413,6.0281397205437655,12.638115946989506,23.70035080649174,36.355336097659,48.69314114753388,59.6871204236456,68.89136207957719,76.19684601585986,81.66964941717798,85.46168253112995,87.75454792463039,88.73915636109521,88.59947694563091,87.50287699480066,85.59237332201532,82.98632000284037,79.79453074009267,76.11299230444246,72.02034038341027,67.59004025923701,62.87897465270282,19.78719073
107748.6748,183323.2244,9.468995022131942,15.640551578693888,25.854867381181375,37.43909492406273,48.65107352801684,58.5824585003797,66.8577416841774,73.3998992153956,78.28628744463849,81.66416577545782,83.7048271101049,84.58059700053856,84.45729103588351,83.48350096080212,81.79026098735815,79.49118153449974,76.68018553275708,73.44270270145263,69.849199177727,65.96038762575847,61.826188333793084,20.28695855
107748.8347,183322.9826,12.14505576171876,18.298012374656647,28.344397641433638,39.56702771842164,50.26123698701487,59.58080493531966,67.20509221512786,73.10348233895883,77.37982656503743,80.19726013309466,81.73459917412359,82.16855837134455,81.66246280455732,80.36503290818962,78.39891101463307,75.8752679549059,72.88481994009277,69.50695739776965,65.80809065089288,61.84403055492812,57.66153065560217,20.57682018
107749.0124,183322.7139,14.008808619041714,20.704965778669568,31.34338814630544,42.96849612425221,53.813561834386924,63.05159016946236,70.40743234941311,75.8896853085982,79.64197979519304,81.85909052793949,82.74772335303231,82.5032530861378,81.30296338100138,79.3003539475954,76.62975170219661,73.40329882492885,69.71750098652292,65.65294164799445,61.277989840673435,56.65103617359493,51.817659741264386,20.89894392
107749.2168,183322.4046,13.918656103413072,21.77861993769421,33.90056636623802,46.86627134883059,58.728914428681705,68.61868416253031,76.27747976895158,81.76116757501003,85.25704299267981,87.01193762196607,87.27672795996034,86.28040911982835,84.22998353649261,81.30088101884685,77.63780893219439,73.36987763054323,68.60751644214918,63.44547290331774,57.95984438254214,52.21302772233554,46.262596395660715,21.26967672
107749.403,183322.1226,12.050334601939305,21.460329586708486,35.62805842598205,50.55089865845435,64.01061164043514,75.05485007988976,83.43295988942637,89.24008571379291,92.72531996090518,94.18542175569318,93.91855181556333,92.19876091929247,89.26881370662693,85.33605775279592,80.5774020601279,75.14389080822336,69.15985053645049,62.73243726913821,55.94868484248447,48.88200343932861,41.59298590002471,21.60760312
107749.5712,183321.8672,10.374746657138882,21.071837348886465,37.082512869466115,53.93650833430251,69.1416226232643,81.601852290954,91.00291291853539,97.4392679628873,101.17659899252456,102.5524517686366,101.90268960656844,99.542869494771,95.75624774570078,90.78478235774972,84.84188953509228,78.10115758962229,70.71190147158055,62.797854404795956,54.46063181478756,45.7874739484727,36.85051832280365,21.91342561
