x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,pos
107762.0776,183303.4379,27.21363337,38112.09,25.34840749,13.70492147,48.42566341,26.20061042,57.33535028,44.90397018,0.875658494,0.930710867,0.871287201,1.001511826,1.357594306,0.022846544,44.18714579
107762.7255,183302.4636,27.2439584,38112.51,26.94840749,14.50492147,49.52566341,27.10061042,67.43535028,52.50397018,0.875658494,0.940710867,0.881287201,1.001511826,1.357594306,-0.027153456,45.35723826
107762.7582,183302.4143,27.25361714,38112.53,26.94840749,14.50492147,51.02566341,28.10061042,69.93535028,54.30397018,0.875658494,0.940710867,0.881287201,1.001511826,1.347594306,-0.037153456,45.41643225
107762.8074,183302.3403,27.25361714,38112.56,26.94840749,14.50492147,53.02566341,29.10061042,72.03535028,56.00397018,0.875658494,0.940710867,0.881287201,1.001511826,1.347594306,-0.047153456,45.5052313
107762.8727,183302.2421,27.25361714,38112.6,26.94840749,14.50492147,55.12566341,30.10061042,72.03535028,56.00397018,0.875658494,0.940710867,0.871287201,1.001511826,1.347594306,-0.047153456,45.62319886
107762.9377,183302.1444,27.25361714,38112.64,28.04840749,15.00492147,57.52566341,31.20061042,73.23535028,57.80397018,0.875658494,0.940710867,0.871287201,1.001511826,1.377594306,-0.057153456,45.74053235
107763.0178,183302.024,27.26232311,38112.69,29.44840749,15.60492147,59.82566341,32.50061042,73.13535028,59.70397018,0.875658494,0.940710867,0.881287201,1.001511826,1.397594306,-0.037153456,45.88508675
107763.0947,183301.9086,27.26232311,38112.74,30.94840749,16.10492147,61.62566341,34.40061042,72.13535028,61.90397018,0.875658494,0.940710867,0.881287201,1.001511826,1.397594306,0.002846544,46.02384884
107763.1681,183301.7985,27.26928571,38112.79,34.34855595,18.60508781,63.2255539,37.10062993,72.13535028,61.90397018,0.875661865,0.94075737,0.881287201,1.011511826,1.397594306,0.002846544,46.15615721
107763.2399,183301.6909,27.26928571,38112.84,36.44855595,20.60508781,65.0255539,37.10062993,70.83535028,64.60304015,0.875661865,0.94075737,0.881287201,1.011511826,1.377595318,0.023071543,46.28549787
107763.3414,183301.5391,27.27619648,38112.91,38.74855595,22.60508781,67.3255539,40.60062993,70.83535028,64.60304015,0.875661865,0.94075737,0.881287201,1.001511826,1.377595318,0.023071543,46.4681169
107763.515,183301.2794,27.27965659,38113.02,40.94855595,25.80508781,69.9255539,44.40062993,69.83535028,72.90304015,0.875661865,0.93075737,0.881287201,1.001511826,1.417595318,0.053071543,46.78043119
107763.6426,183301.0893,27.27981824,38113.09,42.94855595,25.80508781,72.7255539,48.00062993,71.33535028,77.40304015,0.875661865,0.93075737,0.881287201,1.001511826,1.447595318,0.073071543,47.00943187
107763.7785,183300.8866,27.27832352,38113.16,44.74855595,26.70508781,75.4255539,53.30062993,73.73535028,81.40304015,0.875661865,0.93075737,0.881287201,1.001511826,1.447595318,0.103071543,47.25343946
107763.9229,183300.672,27.27529984,38113.24,46.14855595,27.10508781,77.8255539,54.50062993,76.23535028,84.50304015,0.875661865,0.93075737,0.881287201,0.991511826,1.427595318,0.113071543,47.51211715
107764.0272,183300.5173,27.27529984,38113.32,47.14855595,27.10508781,79.6255539,55.00062993,76.23535028,84.50304015,0.875661865,0.93075737,0.881287201,1.001511826,1.427595318,0.113071543,47.69869338
107764.1619,183300.3179,27.27241664,38113.4,47.94855595,27.00508781,81.0255539,55.30062993,78.73535028,86.80304015,0.875661865,0.93075737,0.881287201,1.001511826,1.417595318,0.083071543,47.9393615
107764.4341,183299.913,27.27081143,38113.56,49.44855595,26.80508781,82.7255539,55.50062993,89.13535028,90.00304015,0.875661865,0.93075737,0.881287201,1.001511826,1.427595318,-0.136928457,48.42721271
107764.4894,183299.8298,27.27081143,38113.6,49.44855595,26.80508781,84.8255539,55.30062993,89.13535028,90.00304015,0.875661865,0.93075737,0.881287201,1.001511826,1.427595318,-0.136928457,48.527132
107764.5951,183299.6709,27.27648,38113.66,49.94855595,26.50508781,86.8255539,54.80062993,92.23535028,90.40304015,0.875661865,0.93075737,0.881287201,1.001511826,1.437595318,-0.156928457,48.71792463
107764.7303,183299.4666,27.27648,38113.75,50.14855595,26.10508781,88.3255539,53.90062993,92.23535028,89.90304015,0.875661865,0.94075737,0.881287201,1.001511826,1.437595318,-0.146928457,48.96298283
107764.9037,183299.2036,27.27648,38113.85,50.14855595,25.50508781,88.9255539,52.80062993,95.23535028,88.40304015,0.875661865,0.94075737,0.881287201,1.001511826,1.437595318,-0.116928457,49.27800452
107765.0457,183298.9877,27.31591871,38113.95,49.94855595,25.00508781,88.6255539,51.60062993,94.63535028,86.40304015,0.875661865,0.94075737,0.881287201,1.001511826,1.457595318,-0.076928457,49.53639548
107765.1687,183298.8007,27.31591871,38114.03,49.74855595,24.70508781,87.4255539,50.80062993,94.63535028,86.40304015,0.875661865,0.94075737,0.881287201,1.001511826,1.457595318,-0.076928457,49.7602367
107765.3089,183298.5872,27.31591871,38114.13,49.44855595,24.60508781,85.7255539,50.40062993,93.33535028,84.60304015,0.875661865,0.94075737,0.891287201,1.001511826,1.457595318,-0.026928457,50.01562713
107765.5225,183298.2623,27.31591871,38114.24,49.04855595,24.90675393,84.3255539,50.40062993,91.13642636,82.80254669,0.875661865,0.94075737,0.891287201,1.001511826,1.427677662,0.033512185,50.40446189
107765.6835,183298.0172,27.34059832,38114.34,48.56010783,24.81796117,83.92181445,50.70199267,91.13642636,82.89481521,0.875882078,0.93075737,0.891423884,1.002062634,1.427677662,0.018237085,50.6976993
107765.8314,183297.7925,27.34059832,38114.44,48.2636024,24.81796117,84.50990954,50.50556105,91.13908433,82.89481521,0.87593059,0.93075737,0.89180311,1.003381662,1.437864416,0.018237085,50.96670899
107766.0497,183297.461,27.34354569,38114.55,47.9636024,23.41796117,85.10990954,49.70556105,91.93908433,82.59481521,0.87593059,0.93075737,0.89180311,1.003381662,1.467864416,0.028237085,51.36362504
107766.1867,183297.2532,27.34815808,38114.65,47.9636024,23.41796117,85.00990954,48.40556105,93.03908433,82.59481521,0.87593059,0.93075737,0.90180311,1.003381662,1.507864416,0.028237085,51.61255665
107766.3974,183296.9341,27.35679448,38114.76,46.8636024,22.81796117,84.20990954,47.40556105,93.73908433,80.49481521,0.87593059,0.93075737,0.91180311,1.003381662,1.517864416,0.128237085,51.99492475
107766.5401,183296.7185,27.35976585,38114.86,46.8636024,23.31796117,83.20990954,47.00556105,93.93908433,80.49481521,0.87593059,0.92075737,0.90180311,1.003381662,1.507864416,0.128237085,52.25345067
107766.735,183296.4254,27.37139813,38114.96,46.9636024,23.81796117,82.70990954,47.20556105,93.23908433,78.29481521,0.87593059,0.92075737,0.90180311,1.003381662,1.477864416,0.088237085,52.60547882
107766.8859,183296.1993,27.37666021,38115.06,46.9636024,24.21796117,82.60990954,47.90556105,92.83908433,78.19481521,0.87593059,0.92075737,0.89180311,1.003381662,1.457864416,-0.011762915,52.87733336
107767.0664,183295.9303,27.38235237,38115.16,48.0636024,24.41796117,83.00990954,49.00556105,92.53908433,78.39481521,0.87593059,0.93075737,0.89180311,0.993381662,1.457864416,-0.101762915,53.20122292
107767.1396,183295.8216,27.38914295,38115.21,48.0636024,24.41796117,83.80990954,49.00556105,92.53908433,78.39481521,0.87593059,0.93075737,0.89180311,0.993381662,1.457864416,-0.101762915,53.33227818
107767.3108,183295.5683,27.39596864,38115.31,48.6636024,25.21796117,84.30990954,49.50556105,91.83908433,78.39481521,0.87593059,0.94075737,0.89180311,1.003381662,1.477864416,-0.081762915,53.63798433
107767.4804,183295.3188,27.40254857,38115.41,49.0636024,25.91796117,84.30990954,50.40556105,90.43908433,78.09481521,0.87593059,0.94075737,0.89180311,1.003381662,1.497864416,-0.001762915,53.93968764
