x,y,z,t,PRP0.6,PRP0.6_inph,PRP1.1,PRP1.1_inph,PRP2.1,PRP2.1_inph,HCP0.5,HCP0.5_inph,HCP1.0,HCP1.0_inph,HCP2.0,HCP2.0_inph,pos
107766.5423,183294.86,26.97361512,42891.48113,21.35047972,1.001361797,44.10609915,0.583837264,76.44952416,-1.132216082,49.87694084,0.882041407,83.60496783,0.882844878,99.62289516,1.359052841,56.40374686
107766.738,183294.5775,26.98240528,42891.58189,21.95047972,1.001361797,45.40609915,0.573837264,75.74952416,-1.142216082,50.17694084,0.882041407,83.50496783,0.892844878,97.42289516,1.359052841,56.74741056
107766.8947,183294.3537,26.99278016,42891.68447,22.65047972,1.001361797,46.50609915,0.593837264,75.44952416,-1.082216082,50.37694084,0.882041407,83.10496783,0.882844878,94.92289516,1.369052841,57.02061622
107767.0362,183294.1544,26.99278016,42891.7864,23.25047972,1.011361797,47.60609915,0.613837264,75.94952416,-1.002216082,50.47694084,0.882041407,82.70496783,0.872844878,92.42289516,1.379052841,57.2650395
107767.1955,183293.9317,27.01390492,42891.87812,23.55047972,1.011361797,48.80609915,0.623837264,76.94952416,-0.922216082,50.57694084,0.882041407,82.60496783,0.862844878,90.22289516,1.389052841,57.53884925
107767.36,183293.7051,27.0362561,42891.96817,23.45047972,1.011361797,49.60609915,0.623837264,78.14952416,-0.872216082,50.57694084,0.882041407,83.00496783,0.862844878,88.92289516,1.389052841,57.8188632
107767.5382,183293.4593,27.03761445,42892.0713,22.95047972,1.011361797,49.80609915,0.613837264,79.44952416,-0.852216082,50.57694084,0.882041407,83.50496783,0.872844878,88.42289516,1.399052841,58.12246307
107767.7104,183293.2213,27.03797177,42892.18299,22.35047972,1.011361797,49.30609915,0.613837264,80.84952416,-0.862216082,50.37694084,0.882041407,83.80496783,0.872844878,88.72289516,1.399052841,58.4162263
107767.8753,183292.9937,27.03544021,42892.28592,21.95047972,1.001361797,48.50609915,0.603837264,81.94952416,-0.902216082,50.07694084,0.882041407,84.00496783,0.882844878,89.72289516,1.379052841,58.69728461
107768.0596,183292.7346,27.02917901,42892.38615,21.65047972,1.001361797,47.70609915,0.603837264,82.74952416,-0.962216082,49.77694084,0.882041407,84.40496783,0.882844878,91.32289516,1.369052841,59.01524577
107768.3976,183292.2374,27.03861452,42892.58126,21.45047972,1.001361797,46.50609915,0.563837264,82.64952416,-1.152216082,49.77694084,0.882041407,85.10496783,0.872844878,95.22289516,1.379052841,59.61645442
